2020-05-05 08:28:20.549 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-05-05 08:28:21.509 [main] INFO  com.zhou.wetalk.WetalkApplication - Starting WetalkApplication on DESKTOP-8IBR7OQ with PID 13476 (H:\java\wetalk\target\classes started by zhouzzz in H:\java\wetalk)
2020-05-05 08:28:21.510 [main] INFO  com.zhou.wetalk.WetalkApplication - No active profile set, falling back to default profiles: default
2020-05-05 08:28:23.683 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-05-05 08:28:23.691 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-05-05 08:28:23.692 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-05-05 08:28:23.692 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-05-05 08:28:23.693 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.16] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2020-05-05 08:28:23.694 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
2020-05-05 08:28:23.694 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-05-05 08:28:23.694 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-05-05 08:28:24.872 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2020-05-05 08:28:25.010 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wetalk] - Initializing Spring embedded WebApplicationContext
2020-05-05 08:28:25.010 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3397 ms
2020-05-05 08:28:25.328 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-05-05 08:28:25.468 [main] WARN  com.alibaba.druid.pool.DruidDataSource - removeAbandoned is true, not use in productiion.
2020-05-05 08:28:25.495 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-3} inited
2020-05-05 08:28:26.980 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-05 08:28:29.185 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-05-05 08:28:29.211 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/wetalk'
2020-05-05 08:28:29.214 [main] INFO  com.zhou.wetalk.WetalkApplication - Started WetalkApplication in 8.279 seconds (JVM running for 11.647)
2020-05-05 08:43:13.471 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wetalk] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-05 08:43:13.471 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-05-05 08:43:13.476 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2020-05-05 09:56:54.804 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-05-05 09:56:55.598 [main] INFO  com.zhou.wetalk.WetalkApplication - Starting WetalkApplication on DESKTOP-8IBR7OQ with PID 1008 (H:\java\wetalk\target\classes started by zhouzzz in H:\java\wetalk)
2020-05-05 09:56:55.599 [main] INFO  com.zhou.wetalk.WetalkApplication - No active profile set, falling back to default profiles: default
2020-05-05 09:56:57.420 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-05-05 09:56:57.429 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-05-05 09:56:57.429 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-05-05 09:56:57.429 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-05-05 09:56:57.431 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.16] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2020-05-05 09:56:57.431 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
2020-05-05 09:56:57.431 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-05-05 09:56:57.432 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-05-05 09:56:58.491 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2020-05-05 09:56:58.635 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wetalk] - Initializing Spring embedded WebApplicationContext
2020-05-05 09:56:58.635 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2937 ms
2020-05-05 09:56:59.007 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-05-05 09:56:59.127 [main] WARN  com.alibaba.druid.pool.DruidDataSource - removeAbandoned is true, not use in productiion.
2020-05-05 09:56:59.164 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-3} inited
2020-05-05 09:57:00.811 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-05 09:57:06.060 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-05-05 09:57:06.700 [main] INFO  com.zhou.wetalk.WetalkApplication - Starting WetalkApplication on DESKTOP-8IBR7OQ with PID 13004 (H:\java\wetalk\target\classes started by zhouzzz in H:\java\wetalk)
2020-05-05 09:57:06.701 [main] INFO  com.zhou.wetalk.WetalkApplication - No active profile set, falling back to default profiles: default
2020-05-05 09:57:07.767 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-05-05 09:57:07.775 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-05-05 09:57:07.775 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-05-05 09:57:07.775 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-05-05 09:57:07.776 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.16] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2020-05-05 09:57:07.777 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
2020-05-05 09:57:07.777 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-05-05 09:57:07.777 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-05-05 09:57:08.814 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2020-05-05 09:57:08.915 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wetalk] - Initializing Spring embedded WebApplicationContext
2020-05-05 09:57:08.915 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2157 ms
2020-05-05 09:57:09.172 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-05-05 09:57:09.233 [main] WARN  com.alibaba.druid.pool.DruidDataSource - removeAbandoned is true, not use in productiion.
2020-05-05 09:57:09.258 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-3} inited
2020-05-05 09:57:10.557 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-05 09:57:12.565 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-05-05 09:57:12.594 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/wetalk'
2020-05-05 09:57:12.596 [main] INFO  com.zhou.wetalk.WetalkApplication - Started WetalkApplication in 6.413 seconds (JVM running for 8.581)
2020-05-05 10:09:34.550 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wetalk] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-05 10:09:34.550 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-05-05 10:09:34.557 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2020-05-05 10:35:16.772 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-05-05 10:35:17.211 [main] INFO  com.zhou.wetalk.WetalkApplication - Starting WetalkApplication on DESKTOP-8IBR7OQ with PID 6308 (H:\java\wetalk\target\classes started by zhouzzz in H:\java\wetalk)
2020-05-05 10:35:17.212 [main] INFO  com.zhou.wetalk.WetalkApplication - No active profile set, falling back to default profiles: default
2020-05-05 10:35:18.867 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-05-05 10:35:18.874 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-05-05 10:35:18.875 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-05-05 10:35:18.875 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-05-05 10:35:18.876 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.16] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2020-05-05 10:35:18.876 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
2020-05-05 10:35:18.876 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-05-05 10:35:18.877 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-05-05 10:35:19.927 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2020-05-05 10:35:20.207 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wetalk] - Initializing Spring embedded WebApplicationContext
2020-05-05 10:35:20.207 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2894 ms
2020-05-05 10:35:20.528 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-05-05 10:35:20.604 [main] WARN  com.alibaba.druid.pool.DruidDataSource - removeAbandoned is true, not use in productiion.
2020-05-05 10:35:20.634 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-3} inited
2020-05-05 10:35:22.076 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-05 10:35:24.253 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-05-05 10:35:24.279 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/wetalk'
2020-05-05 10:35:24.282 [main] INFO  com.zhou.wetalk.WetalkApplication - Started WetalkApplication in 7.404 seconds (JVM running for 9.956)
2020-05-05 10:38:18.589 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-05-05 10:38:18.676 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zhou.wetalk.WetalkApplicationTests], using SpringBootContextLoader
2020-05-05 10:38:18.682 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.zhou.wetalk.WetalkApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-05 10:38:18.683 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.zhou.wetalk.WetalkApplicationTests]: WetalkApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-05 10:38:18.806 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.zhou.wetalk.WetalkApplication for test class com.zhou.wetalk.WetalkApplicationTests
